id,navelio.csv,nmiradas.csv,1_avelio.csv,1_miradas.csv,2_avelio.csv,2_miradas.csv,3_avelio.csv,3_miradas.csv,4_avelio.csv,4_miradas.csv,5_avelio.csv,5_miradas.csv
0,3601,3420,901,1170,990,1080,270,180,1080,720,360,270
1,630,450,270,270,270,0,0,0,90,180,0,0
2,450,180,0,0,450,180,0,0,0,0,0,0
3,360,450,0,90,270,270,90,90,0,0,0,0
4,360,270,0,0,360,270,0,0,0,0,0,0
5,180,180,0,0,180,180,0,0,0,0,0,0
6,270,270,0,0,90,90,0,0,0,0,180,180
7,450,270,90,90,180,180,0,0,0,0,180,0
8,540,540,0,0,0,0,540,540,0,0,0,0
9,360,540,0,0,90,90,90,90,180,360,0,0
10,270,0,0,0,270,0,0,0,0,0,0,0
11,450,270,0,0,270,270,0,0,0,0,180,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,270,360,0,0,0,0,90,90,180,270,0,0
14,90,90,90,90,0,0,0,0,0,0,0,0
15,540,630,90,180,0,0,450,450,0,0,0,0
16,450,360,180,90,180,180,0,0,0,0,90,90
17,360,360,360,360,0,0,0,0,0,0,0,0
18,360,360,270,270,0,0,0,0,90,90,0,0
19,720,360,360,360,0,0,0,0,360,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,720,270,270,180,0,0,90,90,360,0,0,0
22,270,0,0,0,0,0,0,0,270,0,0,0
23,270,270,0,0,270,270,0,0,0,0,0,0
24,270,90,0,90,270,0,0,0,0,0,0,0
25,270,360,0,0,0,90,270,270,0,0,0,0
26,90,180,0,0,0,0,0,0,0,0,90,180
27,540,540,90,90,360,360,0,0,90,90,0,0
28,90,540,0,360,90,180,0,0,0,0,0,0
29,720,540,270,270,0,0,270,270,0,0,180,0
30,270,270,270,270,0,0,0,0,0,0,0,0
31,630,720,270,270,0,0,90,90,270,360,0,0
32,360,360,90,180,0,0,0,0,0,0,270,180
33,360,270,0,0,0,0,0,0,360,270,0,0
34,360,360,270,270,0,0,0,0,0,0,90,90
35,180,180,0,0,0,0,0,0,0,0,180,180
36,270,180,90,0,0,0,0,0,0,0,180,180
