id,navelio.csv,nmiradas_la_v8.csv,1_avelio.csv,1_miradas_la_v8.csv,2_avelio.csv,2_miradas_la_v8.csv,3_avelio.csv,3_miradas_la_v8.csv,4_avelio.csv,4_miradas_la_v8.csv,5_avelio.csv,5_miradas_la_v8.csv,1_dif,2_dif,3_dif,4_dif,5_dif
0,3601,3510,901,720,990,1080,270,270,1080,1080,360,360,181,-90,0,0,0
1,630,630,270,270,270,270,0,0,90,90,0,0,0,0,0,0,0
2,450,540,0,0,450,540,0,0,0,0,0,0,0,-90,0,0,0
3,360,360,0,90,270,180,90,90,0,0,0,0,-90,90,0,0,0
4,360,360,0,0,360,360,0,0,0,0,0,0,0,0,0,0,0
5,180,90,0,0,180,90,0,0,0,0,0,0,0,90,0,0,0
6,270,270,0,0,90,90,0,0,0,0,180,180,0,0,0,0,0
7,450,630,90,180,180,270,0,0,0,0,180,180,-90,-90,0,0,0
8,540,720,0,180,0,0,540,540,0,0,0,0,-180,0,0,0,0
9,360,630,0,90,90,180,90,90,180,270,0,0,-90,-90,0,-90,0
10,270,270,0,0,270,270,0,0,0,0,0,0,0,0,0,0,0
11,450,450,0,0,270,270,0,0,0,0,180,180,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,270,360,0,90,0,0,90,90,180,180,0,0,-90,0,0,0,0
14,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0
15,540,810,90,270,0,0,450,540,0,0,0,0,-180,0,-90,0,0
16,450,630,180,360,180,180,0,0,0,0,90,90,-180,0,0,0,0
17,360,360,360,360,0,0,0,0,0,0,0,0,0,0,0,0,0
18,360,90,270,0,0,0,0,0,90,90,0,0,270,0,0,0,0
19,720,630,360,360,0,0,0,0,360,270,0,0,0,0,0,90,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,720,810,270,360,0,0,90,90,360,360,0,0,-90,0,0,0,0
22,270,270,0,0,0,0,0,0,270,270,0,0,0,0,0,0,0
23,270,270,0,0,270,270,0,0,0,0,0,0,0,0,0,0,0
24,270,270,0,0,270,270,0,0,0,0,0,0,0,0,0,0,0
25,270,270,0,0,0,0,270,270,0,0,0,0,0,0,0,0,0
26,90,90,0,0,0,0,0,0,0,0,90,90,0,0,0,0,0
27,540,540,90,0,360,270,0,0,90,270,0,0,90,90,0,-180,0
28,90,180,0,0,90,180,0,0,0,0,0,0,0,-90,0,0,0
29,720,990,270,540,0,0,270,270,0,0,180,180,-270,0,0,0,0
30,270,0,270,0,0,0,0,0,0,0,0,0,270,0,0,0,0
31,630,900,270,450,0,0,90,180,270,270,0,0,-180,0,-90,0,0
32,360,450,90,180,0,0,0,0,0,0,270,270,-90,0,0,0,0
33,360,270,0,0,0,0,0,0,360,270,0,0,0,0,0,90,0
34,360,270,270,180,0,0,0,0,0,0,90,90,90,0,0,0,0
35,180,180,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0
36,270,180,90,0,0,0,0,0,0,0,180,180,90,0,0,0,0
